<Trace>
318
Undoped PFBT NPs - 0.053 Abs - 1
X	Y	
483	1600.65315534075
484	1572.63048892626
485	1549.61216968155
486	1568.62728355965
487	1572.63048892626
488	1651.69546967725
489	1651.69546967725
490	1664.70646819964
491	1765.7948594059
492	1862.88465632254
493	1996.01559531169
494	1960.98026130055
495	2168.19833468537
496	2350.40816401158
497	2573.68834850854
498	2920.17341117222
499	3092.4373264917
500	3388.92694408045
501	3701.4915677285
502	4189.47249241756
503	4593.37607260037
504	5166.80146310726
505	5680.21960909871
506	6240.92149170761
507	7139.98397495188
508	7923.98980490868
509	8601.8403119726
510	9742.16194564787
511	10810.7477316644
512	11653.561899091
513	12878.1988050129
514	14294.9819593425
515	15545.461114837
516	17188.1153380375
517	18876.5719872561
518	20673.60444294
519	22290.2189959424
520	24095.4459919017
521	26102.9797662858
522	27822.4624719993
523	29731.2719028995
524	31715.1140399092
525	33299.1588145842
526	35713.2709834549
527	37570.6583530467
528	39714.4947581095
529	41654.3297148903
530	43345.5933425416
531	45116.0844502096
532	46430.4111812754
533	48846.4016285525
534	50184.7763344395
535	51620.5703781696
536	53003.9909946527
537	53936.0649427255
538	55251.1761763219
539	56249.1515938624
540	57547.2794666061
541	58350.6755856325
542	59058.5549151052
543	59028.6683792863
544	59701.7411002858
545	60041.9729514122
546	59696.5865262334
547	59900.7180157992
548	59960.5181332924
549	60015.1646630189
550	59198.7185401195
551	59122.4517956044
552	59058.5549151052
553	57949.9663742607
554	57933.4865146988
555	57650.2605750853
556	56595.9898116636
557	56266.6464144821
558	55243.9761375362
559	54585.7985635431
560	54122.1217176173
561	53604.0848318169
562	53299.9047286343
563	52736.8850025961
564	51822.8360007615
565	51572.3171954833
566	50418.7010920802
567	50175.5430349532
568	49743.6783831586
569	49469.8372577139
570	48295.9333196643
571	48243.6622409656
572	47403.4165505182
573	46854.377321018
574	45949.2080481733
575	45353.4988448298
576	45494.7331124425
577	44653.6182601504
578	44316.0458899383
579	43788.3219128999
580	42633.1431652645
581	42002.6822552575
582	41361.1894623152
583	40818.9444496389
584	40190.0872128992
585	39707.3515447901
586	39128.8376712005
587	38248.6405008241
588	37805.1219015432
589	37199.6515887006
590	36750.2566488677
591	35932.2350489041
592	35386.3980418606
593	34482.4351718009
594	33687.7400570193
595	33233.0466355038
596	32912.6884177588
597	32188.7699462617
598	31512.8795303104
599	30934.7461666368
600	30322.2530357618
601	29217.6082749621
602	28351.9936637069
603	28276.9173234879
604	27431.9994696722
605	26802.3515300789
606	25831.4069649459
607	25789.8636967719
608	25069.5825748062
609	24204.784405639
610	23760.3819744994
611	23061.082354106
612	22375.1811979917
613	21996.9253992317
614	21010.162898181
615	20579.6209588619
616	20315.8849172564
617	19913.7809949782
618	19279.4731211938
619	18489.9051489875
620	18278.9363382665
621	17752.1181454944
622	17277.9009917031
623	16816.9104317304
624	16504.2651707854
625	15954.7354625242
626	15489.0161842812
627	15125.1869653778
628	14797.6976215103
629	14027.053921979
630	14007.9176058661
631	13472.1765657326
632	13266.7808523789
633	12736.2748223451
634	12323.6464191664
635	12073.0925198747
636	11731.0224271148
637	11543.9152144293
638	11021.920131467
639	10984.7119152179
640	10471.9138347128
641	10199.4815665784
642	10073.8336814348
643	9535.14681571464
644	9439.68603653822
645	8873.04614234196
646	8771.59068085271
647	8523.49894415256
648	8142.8847945122
649	7997.28678191242
650	7776.40009613684
651	7569.59239191242
652	7488.28077366145
653	7237.34025074986
654	6901.13029248803
655	6658.29209242033
656	6420.50035622159
657	6407.45776191268
658	6133.5833200878
659	5775.49752957131
660	5848.71423528712
661	5602.99774410692
662	5400.43016171533
663	5261.0517513635
664	5093.61021546657
665	4952.24855360947
666	4803.87989897528
667	4774.8089779919
668	4437.01642970312
669	4269.64524466674
670	4255.61477638232
671	4116.31771628882
672	3992.06106413247
673	3922.92165938047
674	3758.60010336127
675	3597.29782360468
676	3411.96686592927
677	3370.89588973647
678	3278.73975695614
679	3273.73139557184
680	3104.45630397643
681	3049.36992881209
682	2965.24099700478
683	2861.08636797641
684	2901.14518593969
685	2650.79099951846
686	2610.73729591175
687	2511.60789782649
688	2434.51071952165
689	2403.47245166471
690	2404.47367844287
691	2381.44559189144
692	2182.21387427483
693	2169.1994413337
694	2202.23624747496
695	2075.09765046753
696	2075.09765046753
697	1919.93966619954
698	1837.86105293341
699	1947.96729667903
700	1817.84240015321
701	1871.89323172055
702	1755.78587534183
703	1648.69294381755
704	1610.66134754647
705	1619.66876420827
706	1487.56413332758
707	1513.58403855549
708	1427.51951596908
709	1508.58018381087
710	1432.52316385343
711	1386.49008494119
712	1433.52389496258
713	1287.42255900841
714	1374.48163339296
715	1303.43313319229
716	1276.41536509171
717	1208.37226522466
718	1111.31487079996
719	1166.34682428177
720	1173.35100188862
721	1098.30754383765
722	1075.2947921265
723	1092.3041912653
724	1051.28177394866
725	1060.28662130298
726	1058.28554053923
727	1118.31885182767
728	1015.2627980706
729	1024.26748000991
730	992.251020988024
731	961.235574829841
732	940.225390037571
733	925.21825301826
734	986.247993120687
735	893.203411257138
736	873.194400599055
737	834.177417090275
738	887.200686620313
739	827.174450948819
740	846.182560093572
741	815.169424324086
742	818.170674089562
743	787.157981368984
744	823.172767240325
745	765.149271201659
746	772.152015822505
747	753.144624322864
748	786.157580093008
749	742.14042924859
750	752.144240400507
751	704.126412338918
752	698.124266511869
753	671.114837654828
754	707.127492142491
755	706.1271316976
756	693.122492357476
757	692.122139057681
758	703.126053425127
759	647.106768782668
760	633.102197690571
761	633.102197690571
762	686.120029976677
